Kategória;Szöveg
régies;Adjon az Isten bort, barackot, kurta farkú malacot, szekerünknek kereket, az Ó Évnek keretet! Had ihassunk, had ehessünk az ÚJ ÉVBEN eleget! B.Ú.É.K.!
régies;Eldöcögött már az ó-év szekere, Ez a szekér sok-sok gonddal volt tele. Pusztuljon hát nyikorogva-zörögve, Búját-baját felejtsük el örökre. Asztalunkon mindig legyen friss kenyér, Jó anyámnak mosoly legyen két szemén. S a Jó Isten, kit félünk és imádunk, Áldja meg két szent kezével családunk.
poénos;Bu…Bu…Bu…Buborék! Majdnem…Bu…Bu…BUÉK!
modern;Eljött az évben az utolsó napod, a jókívánságomat sms-ben kapod, kívánok én neked boldog új évet, sikerekben gazdag örömteli szépet! BÚÉK!
poénos;Élt egyszer egy kismalacka, kurta farkú, huncut fajta, szilveszterkor jól becsípet, semmire sem hederítet, én bezzeg gondolok rátok, mielőtt bepiálok. Boldog Új Évet Kívánok!
poénos;Sok locsolót! Ja… Boldog újévet.
modern;Csillagszóró csillogása, pezsgős üveg durranása keltse fel szívedben a boldogságot, az én szívem már felébredt, küldöm is az sms-t! Boldog Új Évet Kívánok Sok Szeretettel
kedves;Szilveszterkor, ha éjfélt üt az óra, gondolj rám is csak egy pillanatra. Enyhe szellő szárnyán szeretetet viszek, boldog új évet kívánok neked!
kedves;Hópihécske száll az égen, kis csengettyű szólal szépen. Az angyalok ma táncra kelnek, gyertyafényben énekelnek, mosolyogva mondják nektek: BÉKÉS BOLDOG ÚJ ÉVET!
kedves;Az év utolsó napján, ha leszáll az éj szívünk egyet dobban valami véget ér. Ahogy búcsúzunk úgy köszöntünk is egyben, mindenkire áldás szálljon az újesztendőben.
kedves;Örömöd sok legyen, Bánatod semmi, Segítsen az Isten boldognak lenni! Legyél mindig vidám, örülj minden szépnek, Én így kívánok Neked Boldog Új Évet!
poénos;Az újévre mit kívánjak neked? Legyen egy jó asszonykád, 3 szép gyereked, az istállóban hat borjas tehened. Kívánok, tejet, vajat, fejedre több hajat, izmos kockahasat. De amit szívből kívánok, legyen jobb szagod, télen, mint nyáron. BÚÉK
poénos;Malac farka kunkorodik, alkoholszint emelkedik, elbúcsúzik az óév, helyébe egy új lép, azt kívánom:BÚÉK!!
régies;Adjon az Isten minden jót ez új esztendőben, fehér kenyér dagadjék nyárfa tekenőben. Hús, bor, gyümölcs, ruha, legyen mindig bőven a patikát felejtsük el ez új esztendőben. Adjon az Isten bő termést, aratást…, nyakig érő sarjút, hogy bosszantsa a kaszást.. Adjon az Isten sok fát a kályhába… házi békességet a meleg szobába.. B.Ú.É.K..
poénos;Bekerül a sült malac este a bendőbe, csakúgy mint én reggel a mentőbe! Nem azért visznek, mert megártott a malac, hanem kiürült sok pezsgős palack! Sok szerencsét kívánunk az új esztendőre, befértek ti is a mentőbe! B.Ú.É.K
